"date","new_confirmed","new_deaths","ma_conf","ma_deaths"
2021-01-06,60707,1231,36254.2857142857,729.285714285714
2021-01-07,89769,1517,41297.1428571429,800.857142857143
2021-01-08,59586,1082,46532.4285714286,888.428571428571
2021-01-09,51393,1009,51681,990.714285714286
2021-01-10,29027,490,53372,1016.28571428571
2021-01-11,30747,490,54187.4285714286,1001.14285714286
2021-01-12,62007,1126,54748,992.142857142857
2021-01-13,62244,1264,54967.5714285714,996.857142857143
2021-01-14,68329,1154,51904.7142857143,945
2021-01-15,69097,1135,53263.4285714286,952.571428571429
2021-01-16,58445,1014,54270.8571428571,953.285714285714
2021-01-17,31416,551,54612.1428571429,962
2021-01-18,28933,476,54353,960
2021-01-19,62149,1160,54373.2857142857,964.857142857143
2021-01-20,64477,1395,54692.2857142857,983.571428571429
2021-01-21,58950,1347,53352.4285714286,1011.14285714286
2021-01-22,56605,1071,51567.8571428571,1002
2021-01-23,58298,1145,51546.8571428571,1020.71428571429
2021-01-24,28519,595,51133,1027
2021-01-25,30530,690,51361.1428571429,1057.57142857143
2021-01-26,61608,1155,51283.8571428571,1056.85714285714
2021-01-27,64772,1336,51326,1048.42857142857
2021-01-28,60760,1438,51584.5714285714,1061.42857142857
2021-01-29,59503,1087,51998.5714285714,1063.71428571429
2021-01-30,53114,1191,51258,1070.28571428571
2021-01-31,27900,567,51169.5714285714,1066.28571428571
2021-02-01,28490,625,50878.1428571429,1057
2021-02-02,56278,1261,50116.7142857143,1072.14285714286
2021-02-03,54414,1198,48637,1052.42857142857
2021-02-04,57107,1277,48115.1428571429,1029.42857142857
2021-02-05,51690,1251,46999,1052.85714285714
2021-02-06,46310,937,46027,1016.57142857143
2021-02-07,26162,489,45778.7142857143,1005.42857142857
2021-02-08,28586,721,45792.4285714286,1019.14285714286
2021-02-09,51217,1315,45069.4285714286,1026.85714285714
2021-02-10,61108,1361,46025.7142857143,1050.14285714286
2021-02-11,53604,1442,45525.2857142857,1073.71428571429
2021-02-12,48942,1219,45132.7142857143,1069.14285714286
2021-02-13,44856,1026,44925,1081.85714285714
2021-02-14,30723,653,45576.5714285714,1105.28571428571
2021-02-15,25808,611,45179.7142857143,1089.57142857143
2021-02-16,65284,1092,47189.2857142857,1057.71428571429
2021-02-17,47225,1189,45206,1033.14285714286
2021-02-18,50634,1439,44781.7142857143,1032.71428571429
2021-02-19,55002,1331,45647.4285714286,1048.71428571429
2021-02-20,52371,1030,46721,1049.28571428571
2021-02-21,29485,607,46544.1428571429,1042.71428571429
2021-02-22,31842,711,47406.1428571429,1057
2021-02-23,63588,1358,47163.8571428571,1095
2021-02-24,65387,1446,49758.4285714286,1131.71428571429
2021-02-25,68141,1576,52259.4285714286,1151.28571428571
2021-02-26,63530,1340,53477.7142857143,1152.57142857143
2021-02-27,58418,1252,54341.5714285714,1184.28571428571
2021-02-28,33365,772,54895.8571428571,1207.85714285714
2021-03-01,40385,829,56116.2857142857,1224.71428571429
2021-03-02,59695,1721,55560.1428571429,1276.57142857143
2021-03-03,71780,1818,56473.4285714286,1329.71428571429
2021-03-04,77140,1837,57759,1367
2021-03-05,71641,1694,58917.7142857143,1417.57142857143
2021-03-06,67768,1510,60253.4285714286,1454.42857142857
2021-03-07,81684,1098,67156.1428571429,1501
2021-03-08,36585,1122,66613.2857142857,1542.85714285714
2021-03-09,71294,1951,68270.2857142857,1575.71428571429
2021-03-10,81467,2381,69654.1428571429,1656.14285714286
2021-03-11,77071,2195,69644.2857142857,1707.28571428571
2021-03-12,82471,2122,71191.4285714286,1768.42857142857
2021-03-13,70347,1959,71559.8571428571,1832.57142857143
2021-03-14,43448,1071,66097.5714285714,1828.71428571429
2021-03-15,44314,1334,67201.7142857143,1859
2021-03-16,85644,2850,69251.7142857143,1987.42857142857
2021-03-17,88653,2661,70278.2857142857,2027.42857142857
2021-03-18,87926,2724,71829,2103
2021-03-19,88259,2656,72655.8571428571,2179.28571428571
2021-03-20,73154,2368,73056.8571428571,2237.71428571429
2021-03-21,47445,1162,73627.8571428571,2250.71428571429
2021-03-22,55970,1688,75293,2301.28571428571
2021-03-23,85112,3147,75217,2343.71428571429
2021-03-24,91002,2317,75552.5714285714,2294.57142857143
2021-03-25,98261,2654,77029,2284.57142857143
2021-03-26,80346,3510,75898.5714285714,2406.57142857143
2021-03-27,81703,3409,77119.8571428571,2555.28571428571
2021-03-28,46958,1570,77050.2857142857,2613.57142857143
2021-03-29,42615,2025,75142.4285714286,2661.71428571429
2021-03-30,86441,3655,75332.2857142857,2734.28571428571
2021-03-31,88725,3925,75007,2964
2021-04-01,87773,3655,73508.7142857143,3107
2021-04-02,69375,2801,71941.4285714286,3005.71428571429
2021-04-03,39355,1909,65891.7142857143,2791.42857142857
2021-04-04,32318,1242,63800.2857142857,2744.57142857143
2021-04-05,42674,1912,63808.7142857143,2728.42857142857
2021-04-06,85132,4068,63621.7142857143,2787.42857142857
2021-04-07,88696,3671,63617.5714285714,2751.14285714286
